127.0.0.1 - - [11/Mar/2025:14:59:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:02 +0530] "GET /ecommerce/cart.jsp HTTP/1.1" 200 2551
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:16 +0530] "GET /ecommerce/index.jsp HTTP/1.1" 200 5738
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:16 +0530] "GET /ecommerce/product-image/men-suits.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:16 +0530] "GET /ecommerce/product-image/ladis-bag.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:16 +0530] "GET /ecommerce/product-image/smoking-e-cigarette-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:16 +0530] "GET /ecommerce/product-image/female-shoes.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:16 +0530] "GET /ecommerce/product-image/men-watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:16 +0530] "GET /ecommerce/product-image/smoking-e-cigarette.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:19 +0530] "GET /ecommerce/order-now?quantity=1&id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:19 +0530] "GET /ecommerce/login.jsp HTTP/1.1" 200 2601
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:29 +0530] "POST /ecommerce/login HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:36 +0530] "GET /ecommerce/add-to-cart?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:36 +0530] "GET /ecommerce/index.jsp HTTP/1.1" 200 5738
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:36 +0530] "GET /ecommerce/product-image/ladis-bag.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:42 +0530] "GET /ecommerce/cart.jsp HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:45 +0530] "GET /ecommerce/quantity-inc-dec?action=inc&id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:59:45 +0530] "GET /ecommerce/cart.jsp HTTP/1.1" 200 3404
